"","date","Alsace","Aquitaine","Auvergne","Basse-Normandie","Bourgogne","Bretagne","Centre","Champagne-Ardenne","Franche-Comté","Haute-Normandie","Île-de-France","Languedoc-Roussillon","Limousin","Lorraine","Midi-Pyrénées","Nord-Pas-de-Calais","Pays-de-la-Loire","Picardie","Poitou-Charentes","Provence-Alpes-Côte-dAzur","Rhône-Alpes"
"1",2019-01-06,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0
"2",2019-01-13,0,56,0,0,0,0,0,0,0,390.857142857143,0,433.428571428571,0,0,0,0,0,0,377.777777777778,0,0
"3",2019-01-20,158.666666666667,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,30.6666666666667
"4",2019-01-27,0,0,0,0,0,0,218.666666666667,1666.66666666667,1200,760,0,0,0,98,0,0,0,0,0,79.3333333333333,58.7777777777778
"5",2019-02-03,0,0,0,0,0,0,0,0,700,0,0,960.571428571429,1800,0,0,0,0,0,0,0,0
"6",2019-02-10,0,65.3333333333333,0,0,0,0,1120.66666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2019-02-17,214.666666666667,0,633.333333333333,304,0,0,0,0,885.714285714286,0,0,246,0,98,0,0,0,0,0,141.666666666667,30.6666666666667
"8",2019-02-24,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,141.666666666667,0
"9",2019-03-03,0,0,0,528,0,0,0,0,0,271.428571428571,2,0,0,0,101.5,0,0,0,0,0,0
"10",2019-03-10,186.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,70,0,58.5,0,0,0,0,0
"11",2019-03-17,0,0,0,0,0,0,0,0,1028.57142857143,0,0,0,0,0,0,0,130.333333333333,0,0,62.3333333333333,0
"12",2019-03-24,0,0,0,672,0,0,0,0,0,0,0,0,2150,63,0,0,0,0,455.555555555556,0,0
"13",2019-03-31,0,0,0,0,847.333333333333,0,0,0,0,0,0,0,4850,0,0,0,192.666666666667,0,0,0,0
"14",2019-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.444444444444,289,0
"15",2019-04-14,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,68,0
"16",2019-04-21,0,28,0,0,0,277.333333333333,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0
"17",2019-04-28,121.333333333333,0,0,0,0,234,0,0,0,314.857142857143,0,0,0,0,0,0,56.6666666666667,0,400,0,0
"18",2019-05-05,0,0,0,0,519.333333333333,0,0,0,0,0,0,386.571428571429,1150,0,0,0,0,0,0,0,0
"19",2019-05-12,0,0,0,0,0,0,0,0,0,0,7,0,1500,0,0,0,0,0,466.666666666667,0,0
"20",2019-05-19,93.3333333333333,0,0,0,0,156,0,0,0,0,2,187.428571428571,3800,0,0,0,0,0,0,0,0
"21",2019-05-26,0,0,2633.33333333333,0,765.333333333333,0,0,0,742.857142857143,575.428571428571,0,0,0,70,0,0,90.6666666666667,0,0,0,0
"22",2019-06-02,84,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"23",2019-06-09,0,23.3333333333333,0,0,0,0,0,0,0,0,2,269.428571428571,2800,0,72.5,108,51,0,0,68,0
"24",2019-06-16,0,0,1000,576,0,0,246,850,0,0,4,0,0,0,0,0,0,0,0,0,0
"25",2019-06-23,261.333333333333,0,3333.33333333333,0,587.666666666667,450.666666666667,0,0,1428.57142857143,0,2,0,0,0,420.5,0,79.3333333333333,0,0,0,17.8888888888889
"26",2019-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2019-07-07,0,42,0,0,0,0,0,0,0,0,3,187.428571428571,0,0,0,0,0,433.333333333333,1111.11111111111,0,0
"28",2019-07-14,0,0,0,0,601.333333333333,0,0,0,0,0,0,0,5000,0,0,121.5,0,0,0,0,0
"29",2019-07-21,0,0,0,256,0,0,0,0,0,0,0,0,0,0,203,58.5,0,383.333333333333,0,0,0
"30",2019-07-28,0,0,0,0,0,130,300.666666666667,0,0,0,0,0,0,0,0,67.5,0,0,388.888888888889,0,0
"31",2019-08-04,0,0,0,384,1120.66666666667,0,0,0,0,304,0,0,0,0,0,0,0,716.666666666667,0,0,0
"32",2019-08-11,65.3333333333333,0,0,0,0,0,0,0,0,401.714285714286,0,0,0,0,0,0,0,0,0,0,0
"33",2019-08-18,0,0,0,0,0,0,0,0,0,0,3,164,0,0,0,0,0,1233.33333333333,0,0,0
"34",2019-08-25,0,23.3333333333333,0,0,0,0,369,0,728.571428571429,0,0,0,0,0,0,0,0,0,0,0,0
"35",2019-09-01,0,0,666.666666666667,768,410,0,0,0,0,0,7,0,0,56,0,0,107.666666666667,850,0,51,0
"36",2019-09-08,0,0,0,0,0,0,0,0,0,640.571428571429,0,0,0,0,0,0,0,0,0,0,0
"37",2019-09-15,0,60.6666666666667,0,512,0,0,0,0,0,0,0,0,1500,0,0,0,102,0,0,0,0
"38",2019-09-22,0,0,0,0,0,0,0,0,0,0,0,398.285714285714,1100,0,72.5,36,0,0,0,0,28.1111111111111
