"","date","Alsace","Aquitaine","Auvergne","Basse-Normandie","Bourgogne","Bretagne","Centre","Champagne-Ardenne","Franche-Comté","Haute-Normandie","Île-de-France","Languedoc-Roussillon","Limousin","Lorraine","Midi-Pyrénées","Nord-Pas-de-Calais","Pays-de-la-Loire","Picardie","Poitou-Charentes","Provence-Alpes-Côte-dAzur","Rhône-Alpes"
"1",2021-01-03,0,62.4,0,0,0,0,233.833333333333,0,0,0,0,0,0,0,154.666666666667,0,0,0,825,0,50
"2",2021-01-10,0,0,0,0,0,0,305,1410.66666666667,0,440,2,102,0,333.333333333333,0,0,0,575,0,0,0
"3",2021-01-17,153.6,0,720,0,0,0,0,1165.33333333333,0,0,5,0,0,0,0,0,0,0,0,0,0
"4",2021-01-24,0,41.6,0,768.8,0,0,0,1211.33333333333,0,0,4,0,0,0,0,73.5,0,0,0,126.5,20
"5",2021-01-31,326.4,0,0,0,0,0,152.5,751.333333333333,0,0,2,168,0,0,0,63,0,0,475,143.75,0
"6",2021-02-07,163.2,0,0,359.6,666.666666666667,0,0,0,0,0,5,0,0,0,0,0,135,0,0,0,0
"7",2021-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.333333333333,0,0,0,0,0,20
"8",2021-02-21,172.8,0,0,0,0,0,193.166666666667,0,0,0,2,0,0,0,0,78.75,0,0,0,0,32.5
"9",2021-02-28,201.6,0,0,0,1666.66666666667,0,335.5,0,0,0,2,168,0,0,193.333333333333,0,0,0,0,74.75,0
"10",2021-03-07,220.8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,110.25,0,0,0,0,0
"11",2021-03-14,0,88.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,1400,0,0,0
"12",2021-03-21,0,0,0,0,0,0,620.166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5
"13",2021-03-28,0,0,0,0,0,0,305,705.333333333333,0,0,0,102,0,0,0,0,150,750,0,126.5,0
"14",2021-04-04,0,0,0,0,0,0,305,782,0,540,2,0,0,0,0,0,0,0,0,0,0
"15",2021-04-11,278.4,119.6,0,0,0,0,488,506,0,0,0,0,0,666.666666666667,174,68.25,75,0,625,0,37.5
"16",2021-04-18,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,437.5,97.75,0
"17",2021-04-25,0,0,0,0,0,0,0,0,0,0,3,84,0,0,0,0,0,0,0,0,0
"18",2021-05-02,0,0,0,0,0,95.6666666666667,0,506,0,0,4,0,0,0,0,0,0,900,0,0,0
"19",2021-05-09,460.8,0,0,0,0,0,0,536.666666666667,0,540,0,0,0,0,0,0,67.5,0,550,0,17.5
"20",2021-05-16,0,0,1000,0,0,123,0,1165.33333333333,0,0,0,0,0,366.666666666667,0,0,0,0,0,0,0
"21",2021-05-23,336,0,0,768.8,0,0,0,552,0,0,0,138,0,0,0,0,0,0,0,0,0
"22",2021-05-30,192,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,127.5,0,0,0,0
"23",2021-06-06,0,0,760,0,0,280.166666666667,0,0,0,0,2,0,0,0,0,0,0,0,0,74.75,0
